ctid,date,nginx-access-*,ssh-*,telnet-*,ftp-*,total
615,2019-08-01,290,19701,48,1,20040
615,2019-08-02,444,22596,250,0,23290
615,2019-08-03,1038,6622,469,1,8130
615,2019-08-04,1306,1124,352,0,2782
615,2019-08-05,987,850,353,0,2190
615,2019-08-06,1116,4983,338,0,6437
615,2019-08-07,1099,23884,450,0,25433
615,2019-08-08,740,9167,158,0,10065
615,2019-08-09,955,2220,86,0,3261
615,2019-08-10,682,1400,407,1,2490
615,2019-08-11,493,1312,133,1,1939
615,2019-08-12,459,1628,106,0,2193
615,2019-08-13,479,5747,99,0,6325
615,2019-08-14,588,5592,213,1,6394
615,2019-08-15,447,1184,7,3,1641
615,2019-08-16,220,4916,93,0,5229
615,2019-08-17,390,3716,762,1,4869
615,2019-08-18,391,4021,854,0,5266
615,2019-08-19,1163,3296,1304,1,5764
615,2019-08-20,433,4766,1006,1,6206
615,2019-08-21,415,2395,1131,0,3941
615,2019-08-22,1235,15640,936,1,17812
615,2019-08-23,420,23111,1552,1,25084
615,2019-08-24,953,8324,1894,2,11173
615,2019-08-25,880,13789,2021,3,16693
615,2019-08-26,1775,25084,1842,1,28702
615,2019-08-27,1408,16040,1980,1,19429
615,2019-08-28,868,22145,1262,1,24276
615,2019-08-29,1166,16344,1723,2,19235
615,2019-08-30,873,4054,596,2,5525
615,2019-08-31,324,556,10,0,890
615,2019-09-01,139,1112,270,0,1521
615,2019-09-02,130,547,50,0,727
615,2019-09-03,711,4778,714,1,6204
615,2019-09-04,431,11777,2274,2,14484
615,2019-09-05,436,15401,1362,3,17202
615,2019-09-06,497,19136,2038,1,21672
615,2019-09-07,555,13951,2205,0,16711
615,2019-09-08,821,7065,1552,0,9438
615,2019-09-09,442,7007,1714,1,9164
615,2019-09-10,1133,8976,1504,0,11613
615,2019-09-11,386,7023,1653,3,9065
615,2019-09-12,369,7526,1760,1,9656
615,2019-09-13,653,5133,1372,3,7161
615,2019-09-14,2226,7625,2309,0,12160
615,2019-09-15,385,9201,2435,11,12032
615,2019-09-16,408,15068,2508,21,18005
615,2019-09-17,616,8875,1631,6,11128
615,2019-09-18,442,12170,1559,11,14182
615,2019-09-19,615,6639,2430,8,9692
615,2019-09-20,418,10423,2402,12,13255
615,2019-09-21,330,9460,1012,9,10811
615,2019-09-22,1246,13802,2101,5,17154
615,2019-09-23,1315,13275,1812,2,16404
615,2019-09-24,473,11428,2254,3,14158
615,2019-09-25,380,9761,1256,16,11413
615,2019-09-26,1099,14078,1204,1,16382
